stock_code,stock_name,concept,industry,date,price,turnover_rate,net_inflow
SH600000,浦发银行,银行+金融科技,金融,2024-10-16,10.52,1.2,5000000
SH600036,招商银行,银行+消费电子,金融,2024-10-16,32.15,0.8,-2000000
SZ000001,平安银行,银行+科技,金融,2024-10-16,12.34,1.5,3000000
SH600519,贵州茅台,白酒+消费,食品饮料,2024-10-16,1680.50,0.3,8000000
SZ000858,五粮液,白酒+消费,食品饮料,2024-10-16,158.20,0.9,2500000
SH600276,恒瑞医药,医药+创新药,医药生物,2024-10-16,45.60,1.1,1500000
SZ300750,宁德时代,新能源+电池,电气设备,2024-10-16,205.80,2.5,15000000
SH601012,隆基绿能,新能源+光伏,电气设备,2024-10-16,18.45,3.2,6000000
SZ002594,比亚迪,新能源+汽车,汽车,2024-10-16,258.90,1.8,12000000
SH600030,中信证券,券商+金融,非银金融,2024-10-16,22.35,1.4,4000000
